Epochs,Generator Loss,Discriminator Loss
1,0.7867768406867981,0.6820505857467651
2,0.8538504838943481,0.6490726470947266
3,0.9109732508659363,0.6232417225837708
4,0.9358434677124023,0.5992121696472168
5,0.9495749473571777,0.5754297375679016
6,0.9875012636184692,0.5595664381980896
7,1.0105152130126953,0.5388507843017578
8,1.0284864902496338,0.5242990255355835
9,1.006125807762146,0.5072795748710632
10,0.9851779937744141,0.4893098771572113
11,0.9733907580375671,0.4814145565032959
12,0.9995390772819519,0.463712602853775
13,1.037085771560669,0.45656657218933105
14,1.0745452642440796,0.4578075408935547
15,1.1195313930511475,0.4406720697879791
16,1.158144235610962,0.44242197275161743
17,1.2075814008712769,0.42037659883499146
18,1.2559244632720947,0.4147687554359436
19,1.2955706119537354,0.41847196221351624
20,1.332289457321167,0.4088076055049896
21,1.3677656650543213,0.3990269899368286
22,1.4022047519683838,0.39348071813583374
23,1.443584680557251,0.3802870512008667
24,1.481726050376892,0.3811458945274353
25,1.5231921672821045,0.37201017141342163
26,1.5592941045761108,0.36942368745803833
27,1.5959815979003906,0.3654760718345642
28,1.594306230545044,0.3837037980556488
29,1.5833237171173096,0.36742666363716125
30,1.5743463039398193,0.35921281576156616
31,1.5815244913101196,0.3492920398712158
32,1.595720648765564,0.3384482264518738
33,1.6177780628204346,0.33953118324279785
34,1.6222240924835205,0.33892202377319336
35,1.620726227760315,0.3350866734981537
36,1.622281789779663,0.32377761602401733
37,1.6258357763290405,0.3208620250225067
38,1.6155179738998413,0.31755882501602173
39,1.559537649154663,0.30843469500541687
40,1.520077109336853,0.3075025677680969
41,1.4884506464004517,0.2979728579521179
42,1.4482237100601196,0.2839811444282532
43,1.4432151317596436,0.29068079590797424
44,1.441750168800354,0.2818605303764343
45,1.4347617626190186,0.26522010564804077
46,1.4286401271820068,0.26934316754341125
47,1.4196369647979736,0.2582610845565796
48,1.407963514328003,0.25188884139060974
49,1.4003958702087402,0.23970237374305725
50,1.3710030317306519,0.22666101157665253
51,1.339124083518982,0.23479881882667542
52,1.327074646949768,0.23454976081848145
53,1.321718692779541,0.2289256751537323
54,1.3133577108383179,0.20312824845314026
55,1.276701807975769,0.19057932496070862
56,1.2589757442474365,0.19109538197517395
57,1.2408888339996338,0.1861080825328827
58,1.225807547569275,0.19071537256240845
59,1.2286479473114014,0.19187024235725403
60,1.2180986404418945,0.17236919701099396
61,1.1982731819152832,0.15692605078220367
62,1.1465333700180054,0.16338682174682617
63,1.1088355779647827,0.14881661534309387
64,1.0894421339035034,0.13839061558246613
65,1.0261715650558472,0.13511896133422852
66,0.989518940448761,0.14739365875720978
67,0.9651550054550171,0.1381443291902542
68,0.9552550315856934,0.13700899481773376
69,0.9253214597702026,0.10853739082813263
70,0.8856633901596069,0.11182767152786255
71,0.8609619140625,0.12462668120861053
72,0.8860319256782532,0.10485074669122696
73,0.9027978181838989,0.11365072429180145
74,0.8975914716720581,0.10050676763057709
75,0.8393968343734741,0.10446944087743759
76,0.9409554600715637,0.08205815404653549
77,0.9202683568000793,0.09131492674350739
78,0.9336286783218384,0.0898929089307785
79,0.9101710319519043,0.07752633094787598
80,0.8488987684249878,0.06939814984798431
81,0.8645760416984558,0.07940111309289932
82,0.8540169596672058,0.06699499487876892
83,0.9373139142990112,0.06903209537267685
84,1.0102767944335938,0.0728812962770462
85,0.9964081645011902,0.05872257798910141
86,1.0535612106323242,0.0617222897708416
87,0.9620562791824341,0.054094403982162476
88,0.9970771670341492,0.04396066069602966
89,0.8840204477310181,0.05405963584780693
90,0.8831607699394226,0.055380336940288544
91,0.9386578798294067,0.04299386590719223
92,0.965990424156189,0.04114896059036255
93,1.0538021326065063,0.051588840782642365
94,1.0553462505340576,0.045155614614486694
95,1.122188925743103,0.04048321396112442
96,1.1641666889190674,0.03923637419939041
97,1.1785932779312134,0.043719325214624405
98,1.2491750717163086,0.032298408448696136
99,1.2846174240112305,0.03344929963350296
100,1.2798105478286743,0.034729838371276855
101,1.305766224861145,0.0303944144397974
102,1.2548779249191284,0.024273458868265152
103,1.1492809057235718,0.03105795383453369
104,0.14925192296504974,0.02383994683623314
105,0.050432056188583374,0.03042907454073429
106,0.031739212572574615,0.03398674726486206
107,0.042789287865161896,0.028377827256917953
108,0.04634718969464302,0.028927002102136612
109,0.042672671377658844,0.02752355858683586
110,0.026233475655317307,0.02659112587571144
111,0.007965941913425922,0.02719828486442566
112,0.002695772098377347,0.0278366357088089
113,0.0020673624239861965,0.025251900777220726
114,0.00217875256203115,0.025949180126190186
115,0.0024408046156167984,0.021408315747976303
116,0.0030255443416535854,0.024232570081949234
117,0.003476618556305766,0.0238934475928545
118,0.003525585401803255,0.02051822654902935
119,0.0035247541964054108,0.021471425890922546
120,0.0038734227418899536,0.020510563626885414
121,0.0038512672763317823,0.02009575441479683
122,0.0042767091654241085,0.01991180144250393
123,0.004309644922614098,0.01548359077423811
124,0.004753203131258488,0.019160311669111252
125,0.0035286496859043837,0.01690099574625492
126,0.004350850824266672,0.01480195950716734
127,0.004336266778409481,0.015379594638943672
128,0.004439034499228001,0.01697816327214241
129,0.0039722612127661705,0.016110185533761978
130,0.004223373252898455,0.01645965687930584
131,0.0039513749070465565,0.013211289420723915
132,0.004366548266261816,0.014963055029511452
133,0.004104008432477713,0.015104850754141808
134,0.003977571148425341,0.013463884592056274
135,0.004081196151673794,0.012652469798922539
136,0.004358923994004726,0.0120043670758605
137,0.0049185981042683125,0.012486296705901623
138,0.004614413715898991,0.012492735870182514
139,0.004211478866636753,0.011570528149604797
140,0.004255650565028191,0.010872887447476387
141,0.0048159826546907425,0.010903887450695038
142,0.004773168358951807,0.009895884431898594
143,0.00471083540469408,0.011018303222954273
144,0.0043659573420882225,0.011503927409648895
145,0.004554857034236193,0.009553613141179085
146,0.005015204194933176,0.008410677313804626
147,0.0048595936968922615,0.009718133136630058
148,0.0046370262280106544,0.008543474599719048
149,0.005358378868550062,0.010920851491391659
150,0.005278519354760647,0.008848262950778008
151,0.005010481923818588,0.00947447307407856
152,0.005415430758148432,0.008399593643844128
153,0.005610049236565828,0.008675675839185715
154,0.006047447212040424,0.008147834800183773
155,0.006212689448148012,0.007996240630745888
156,0.0062113478779792786,0.007064846344292164
157,0.005856347735971212,0.008166439831256866
158,0.005860564298927784,0.007089747581630945
159,0.005936474073678255,0.008237389847636223
160,0.0061364020220935345,0.006858082953840494
161,0.006641976535320282,0.008279576897621155
162,0.006010863929986954,0.006660123355686665
